sid,underlying_sid,root,symbol,name,mktdata_type,asset_class,instrument_type,mult,tick_size,start_date,end_date,auto_close_date,exchange_name,calendar_name,ccy,ccy_pair,base_ccy,quote_ccy,expiry_date,notice_date
59,210,CADILAHC,CADILAHC-I,CADILAHC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
60,-1,,ADANIPOWER,ADANIPOWER,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
61,230,TATACOMM,TATACOMM-I,TATACOMM FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
62,119,HDFCBANK,HDFCBANK-I,HDFCBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
63,-1,,TORNTPHARM,TORNTPHARM,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
64,323,BRITANNIA,BRITANNIA-I,BRITANNIA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
65,228,SAIL,SAIL-I,SAIL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
66,347,PAGEIND,PAGEIND-I,PAGEIND FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
67,-1,,TCS,TCS,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
68,73,JISLJALEQS,JISLJALEQS-I,JISLJALEQS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
69,192,NCC,NCC-I,NCC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
70,166,PTC,PTC-I,PTC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
71,-1,,LT,LT,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
72,35,CIPLA,CIPLA-I,CIPLA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
73,-1,,JISLJALEQS,JISLJALEQS,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
74,242,GLENMARK,GLENMARK-I,GLENMARK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
75,125,VOLTAS,VOLTAS-I,VOLTAS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
76,300,HINDPETRO,HINDPETRO-I,HINDPETRO FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
77,-1,,SRTRANSFIN,SRTRANSFIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
78,-1,,HDIL,HDIL,0,0,0,1,0.01,1.48E+18,1.52E+18,1.52E+18,NSE,NSE,INR,,,,,
79,208,EXIDEIND,EXIDEIND-I,EXIDEIND FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
80,-1,,TV18BRDCST,TV18BRDCST,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
81,58,SUNTV,SUNTV-I,SUNTV FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
82,2,INDIACEM,INDIACEM-I,INDIACEM FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
83,186,IBREALEST,IBREALEST-I,IBREALEST FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.51E+18,1.51E+18,NSE,NSE,INR,,,,,
84,172,GODREJIND,GODREJIND-I,GODREJIND FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
